genotype,summary
Rs104886315,[u'common in clinvar']
Rs104886382,[u'common in clinvar']
Rs104886450,[u'common in clinvar']
Rs104893706,[u'common in clinvar']
Rs104893707,[u'common in clinvar']
Rs104886328,[u'common in clinvar']
Rs104893754,[u'common in clinvar']
Rs104886420,[u'common in clinvar']
Rs104886419,[u'common in clinvar']
Rs104893792,[u'common in clinvar']
Rs104886304,[u'common in clinvar']
Rs104893619,[u'common in clinvar']
Rs104893727,[u'common in clinvar']
Rs104893657,[u'common in clinvar']
Rs104893739,[u'common in clinvar']
Rs104886459,[u'carrier for Fanconi anemia allele']
Rs104886326,[u'common in clinvar']
Rs104886255,[u'common in clinvar']
Rs104893782,[u'common in clinvar']
Rs104893649,[u'common in clinvar']
Rs104886436,[u'common in clinvar']
Rs104893721,[u'common in clinvar']
Rs104886404,[u'common in clinvar']
Rs10488631,"[u""2x increased risk of developing SLE; 1.6x increased risk of developing primary biliary cirrhosis; and 1.7x increased risk of developing Sj\xf6gren's syndrome""]"
Rs104893634,[u'common in clinvar']
Rs104893800,[u'common in clinvar']
Rs104886180,[u'common in clinvar']
Rs104886235,[u'common in clinvar']
Rs104886431,[u'common in clinvar']
Rs104893788,[u'common in clinvar']
Rs104893647,[u'common in clinvar']
Rs104893705,[u'common in clinvar']
Rs104893796,[u'common in clinvar']
Rs104886350,[u'common in clinvar']
Rs104886260,[u'common in clinvar']
Rs104893616,[u'common in clinvar']
Rs104893637,[u'common in clinvar']
Rs104886377,[u'common in clinvar']
Rs104886269,[u'common in clinvar']
Rs104886209,[u'common in clinvar']
Rs104893643,[u'common in clinvar']
Rs104886247,[u'common in clinvar']
Rs104893673,[u'common in clinvar']
Rs104886438,[u'common in clinvar']
Rs104893675,[u'common in clinvar']
Rs104886461,[u'Mucolipidosis type IV']
Rs104886226,[u'common in clinvar']
Rs104886441,[u'common in clinvar']
Rs104893709,[u'common in clinvar']
Rs104886349,[u'common in clinvar']
Rs104886348,[u'common in clinvar']
Rs104886460,[u'common in complete genomics']
Rs104886228,[u'common in clinvar']
Rs104886256,[u'common in clinvar']
Rs104886238,[u'common in clinvar']
Rs104886422,[u'common in clinvar']
Rs104893666,[u'common in clinvar']
Rs104893816,[u'common in clinvar']
Rs104886237,[u'common in clinvar']
Rs104886191,[u'common in clinvar']
Rs104886190,[u'common in clinvar']
Rs104886241,[u'common in clinvar']
Rs104893624,[u'common in clinvar']
Rs104886175,[u'common in clinvar']
Rs104893806,[u'common in clinvar']
Rs104886301,[u'common in clinvar']
Rs104886332,[u'common in clinvar']
Rs104893650,[u'common in clinvar']
Rs104893699,[u'common in clinvar']
Rs104886361,[u'common in clinvar']
Rs104893797,[u'common in clinvar']
Rs104893819,[u'common in clinvar']
Rs104893690,[u'common in clinvar']
Rs104893645,[u'common in clinvar']
Rs104893662,[u'common in clinvar']
Rs104893654,[u'common in clinvar']
Rs104886376,[u'common in clinvar']
Rs104893762,[u'common in clinvar']
Rs104893644,[u'common in clinvar']
Rs104886240,[u'common in clinvar']
Rs104886216,[u'common in clinvar']
Rs104886231,[u'common in clinvar']
Rs104886360,[u'common in clinvar']
Rs104893759,[u'common in clinvar']
Rs10489087,[u'common in complete genomics']
Rs104886198,[u'common in clinvar']
Rs104886389,[u'common in clinvar']
Rs104893752,[u'common in clinvar']
Rs104886378,[u'common in clinvar']
Rs104893732,[u'common in clinvar']
Rs104893786,[u'common in clinvar']
Rs104893730,[u'common in clinvar']
Rs104893635,[u'common in clinvar']
Rs104886196,[u'common in clinvar']
Rs104893703,[u'common in clinvar']
Rs104893776,[u'common in clinvar']
Rs104886421,[u'common in clinvar']
Rs104886449,[u'common in clinvar']
Rs104893612,[u'common in clinvar']
Rs104893659,[u'common in clinvar']
Rs104886452,[u'common in clinvar']
Rs104886448,[u'common in clinvar']
Rs104886369,[u'common in clinvar']
Rs104886408,[u'common in clinvar']
Rs104893738,[u'common in clinvar']
Rs104886443,[u'common in clinvar']
Rs104893697,[u'common in clinvar']
Rs104886397,[u'common in clinvar']
Rs104893718,[u'common in clinvar']
Rs104886374,[u'common in clinvar']
Rs104886386,[u'common in clinvar']
Rs104886244,[u'common in clinvar']
Rs104893636,[u'common in complete genomics']
Rs104886234,[u'common in clinvar']
Rs104893668,[u'common in clinvar']
Rs104893772,[u'common in clinvar']
Rs104886324,[u'common in clinvar']
Rs104886341,[u'common in clinvar']
Rs104893664,[u'common in clinvar']
Rs104893745,[u'common in clinvar']
Rs104893648,[u'common in clinvar']
Rs104886478,[u'common in clinvar']
Rs104893652,[u'common in clinvar']
Rs104886317,[u'common in clinvar']
Rs104886406,[u'common in clinvar']
Rs104886195,[u'common in clinvar']
Rs104886383,[u'common in clinvar']
Rs104886314,[u'common in clinvar']
Rs104886298,[u'common in clinvar']
Rs104893626,[u'common in clinvar']
Rs104886184,[u'common in clinvar']
Rs104893669,[u'common in clinvar']
Rs104886224,[u'common in clinvar']
Rs104886217,[u'common in clinvar']
Rs104886457,[u'carrier of Fanconi anemia allele']
Rs104886474,[u'common in clinvar']
Rs104886342,[u'common in clinvar']
Rs104886293,[u'common in clinvar']
Rs104893751,[u'common in complete genomics']
Rs104893611,[u'common in clinvar']
Rs104886339,[u'common in clinvar']
Rs104893823,[u'common in clinvar']
Rs104893734,[u'common in clinvar']
Rs104886451,[u'common in clinvar']
Rs104886303,[u'common in clinvar']
Rs104893642,[u'common in clinvar']
Rs104886445,[u'common in clinvar']
Rs104886492,[u'common in clinvar']
Rs104886390,[u'common in clinvar']
Rs104893672,[u'common in clinvar']
Rs104886392,[u'common in clinvar']
Rs104886434,[u'common in clinvar']
Rs104893833,[u'common in complete genomics']
Rs104893715,[u'common in clinvar']
Rs104886330,[u'common in clinvar']
Rs104886276,[u'common in clinvar']
Rs104886354,[u'common in clinvar']
Rs104886214,[u'common in clinvar']
Rs104886204,[u'common in clinvar']
Rs10488631,"[u""Normal risk of developing SLE, primary biliary cirrhosis, and Sj\xf6gren's syndrome""]"
Rs104893631,[u'common in clinvar']
Rs104893766,[u'common in clinvar']
Rs104893791,[u'common in clinvar']
Rs104893829,[u'common in clinvar']
Rs104886460,[u'Gaucher disease']
Rs104886457,[u'Fanconi Anemia']
Rs104886182,[u'common in clinvar']
Rs104893623,[u'common in clinvar']
Rs104886457,[u'common in clinvar']
Rs104886236,[u'common in clinvar']
Rs104886215,[u'common in clinvar']
Rs104893692,[u'common in clinvar']
Rs104886355,[u'common in clinvar']
Rs104886288,[u'common in clinvar']
Rs104886414,[u'common in clinvar']
Rs104893683,[u'common in clinvar']
Rs104893807,[u'common in clinvar']
Rs104886194,[u'common in clinvar']
Rs104893826,[u'common in clinvar']
Rs104893755,[u'common in clinvar']
Rs104893780,[u'common in clinvar']
Rs104886253,[u'common in clinvar']
Rs104886227,[u'common in clinvar']
Rs104886364,[u'common in clinvar']
Rs104886347,[u'common in clinvar']
Rs104893781,[u'common in clinvar']
Rs104893661,[u'common in clinvar']
Rs104886254,[u'common in clinvar']
Rs104886432,[u'common in clinvar']
Rs104886181,[u'common in clinvar']
Rs104893658,[u'common in clinvar']
Rs104886279,[u'common in clinvar']
Rs10488631,"[u""2x increased risk of developing SLE; 3.2x increased risk of developing primary biliary cirrhosis; and 3.4x increased risk of developing Sj\xf6gren's syndrome""]"
Rs104893618,[u'common in clinvar']
Rs104893761,[u'common in clinvar']
Rs104893701,[u'common in clinvar']
Rs104893614,[u'common in clinvar']
Rs104893656,[u'common in clinvar']
Rs104886219,[u'common in clinvar']
Rs104893628,[u'common in clinvar']
Rs104886261,[u'common in clinvar']
Rs104893625,[u'common in clinvar']
Rs104886187,[u'common in clinvar']
Rs104893723,[u'common in clinvar']
Rs104886391,[u'common in clinvar']
Rs104886277,[u'common in clinvar']
Rs104886320,[u'common in clinvar']
Rs104886446,[u'common in clinvar']
Rs104893763,[u'common in clinvar']
Rs104893722,[u'common in clinvar']
Rs104886359,[u'common in clinvar']
Rs104893771,[u'common in clinvar']
Rs104886189,[u'common in clinvar']
Rs104893714,[u'common in complete genomics']
Rs104893632,[u'common in clinvar']
Rs104886353,[u'common in clinvar']
Rs104886250,[u'common in clinvar']
Rs104893801,[u'common in clinvar']
Rs104886251,[u'common in clinvar']
Rs104893827,[u'common in clinvar']
Rs104886200,[u'common in clinvar']
Rs104886413,[u'common in clinvar']
Rs104886369,[u'common in clinvar']
Rs104886213,[u'common in clinvar']
Rs104893713,[u'common in clinvar']
Rs104886310,[u'common in clinvar']
Rs104893777,[u'common in clinvar']
Rs104886396,[u'common in clinvar']
Rs104893757,[u'common in clinvar']
Rs104886323,[u'common in clinvar']
Rs104893760,[u'common in clinvar']
Rs104886197,[u'common in clinvar']
Rs104893802,[u'common in clinvar']
Rs104893665,[u'common in clinvar']
Rs104886249,[u'common in clinvar']
Rs104893783,[u'common in clinvar']
Rs104893712,[u'common in clinvar']
Rs104893680,[u'common in clinvar']
Rs104893817,[u'common in clinvar']
Rs104886179,[u'common in clinvar']
Rs104886266,[u'common in clinvar']
Rs104893684,[u'common in clinvar']
Rs104893737,[u'common in clinvar']
Rs104886257,[u'common in clinvar']
Rs104886444,[u'common in clinvar']
Rs104886280,[u'common in clinvar']
Rs104893741,[u'common in clinvar']
Rs104886225,[u'common in clinvar']
Rs104886367,[u'common in clinvar']
Rs104893717,[u'common in clinvar']
Rs104893695,[u'common in clinvar']
Rs104893753,[u'common in clinvar']
Rs104886461,[u'Carrier of mucolipidosis type IV mutation']
Rs104886202,[u'common in clinvar']
Rs104894246,[u'common in clinvar']
Rs104893941,[u'common in clinvar']
Rs104893842,[u'common in clinvar']
Rs104894100,[u'common in clinvar']
Rs104893944,[u'common in clinvar']
Rs104894331,[u'common in clinvar']
Rs104894245,[u'common in clinvar']
Rs104894294,[u'common in clinvar']
Rs104894296,[u'common in clinvar']
Rs104894105,[u'common in clinvar']
Rs104893894,[u'common in clinvar']
Rs104893876,[u'common in clinvar']
Rs104894282,[u'common in clinvar']
Rs104893996,[u'common in clinvar']
Rs104894005,[u'associated with MODY2; maturity onset of diabetes in the young (type 2)']
Rs104894336,[u'common in clinvar']
Rs104893875,[u'common in clinvar']
Rs104893918,[u'common in clinvar']
Rs104894129,[u'Nemaline Myopathy 4']
Rs104894195,[u'common in clinvar']
Rs104893969,[u'common in clinvar']
Rs104894179,[u'common in clinvar']
Rs104894124,[u'common in clinvar']
Rs104893930,"[u'Spinal muscular atrophy, type 2']"
Rs104893932,[u'carrier of a spinal muscular atrophy disease allele']
Rs104893977,[u'common in clinvar']
Rs104894068,[u'common in clinvar']
Rs104893884,[u'common in clinvar']
Rs104894026,[u'common in clinvar']
Rs104894105,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104894171,[u'common in clinvar']
Rs104894070,[u'common in clinvar']
Rs104894003,[u'common in clinvar']
Rs104894178,[u'common in clinvar']
Rs104894034,[u'common in clinvar']
Rs104894133,[u'common in clinvar']
Rs104893863,[u'common in clinvar']
Rs104894054,[u'common in clinvar']
Rs104893878,[u'common in clinvar']
Rs104893879,[u'common in clinvar']
Rs104893995,[u'common in clinvar']
Rs104894267,[u'common in clinvar']
Rs104894010,[u'common in clinvar']
Rs104893874,[u'common in clinvar']
Rs104894315,[u'common in clinvar']
Rs104894202,[u'common in clinvar']
Rs104894121,[u'common in clinvar']
Rs104893914,[u'common in clinvar']
Rs104894104,[u'common in complete genomics']
Rs104893983,[u'common in clinvar']
Rs104894324,[u'common in clinvar']
Rs104894176,[u'common in clinvar']
Rs104894232,[u'common in clinvar']
Rs104894278,[u'common in clinvar']
Rs104894101,[u'common in clinvar']
Rs104894154,[u'common in clinvar']
Rs104894053,[u'common in clinvar']
Rs104893837,[u'common in clinvar']
Rs104894019,[u'common in clinvar']
Rs104893931,"[u'Spinal muscular atrophy, type 3']"
Rs104893840,[u'common in clinvar']
Rs104893854,[u'common in clinvar']
Rs104893972,[u'common in clinvar']
Rs104893974,[u'common in clinvar']
Rs104894319,[u'common in clinvar']
Rs104894043,[u'common in clinvar']
Rs104894113,[u'common in clinvar']
Rs104894188,[u'common in clinvar']
Rs104894248,[u'common in clinvar']
Rs104894320,[u'common in clinvar']
Rs104894270,[u'common in clinvar']
Rs104894004,[u'common in clinvar']
Rs104893967,[u'common in clinvar']
Rs104894271,[u'common in clinvar']
Rs104894052,[u'common in clinvar']
Rs104893902,[u'common in clinvar']
Rs104894107,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104894106,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104893922,[u'common in clinvar']
Rs104894302,[u'common in clinvar']
Rs104893841,[u'common in clinvar']
Rs104893991,[u'common in clinvar']
Rs104893907,[u'common in clinvar']
Rs104893892,[u'common in clinvar']
Rs104893952,[u'common in clinvar']
Rs104893937,[u'common in clinvar']
Rs104893979,[u'common in clinvar']
Rs104893960,[u'common in clinvar']
Rs104894297,[u'common in clinvar']
Rs104894073,[u'common in clinvar']
Rs104893896,[u'common in clinvar']
Rs104894077,[u'common in clinvar']
Rs104893886,[u'common in clinvar']
Rs104894008,[u'associated with MODY2; maturity onset of diabetes in the young (type 2)']
Rs104894165,[u'common in clinvar']
Rs104894209,[u'common in clinvar']
Rs104894295,[u'common in clinvar']
Rs104894153,[u'common in clinvar']
Rs104894222,[u'common in clinvar']
Rs104894172,[u'common in clinvar']
Rs104893959,[u'common in clinvar']
Rs104894011,[u'associated with MODY2; maturity onset of diabetes in the young (type 2)']
Rs104894160,[u'common in clinvar']
Rs104893868,[u'common in clinvar']
Rs104894109,[u'common in complete genomics']
Rs104894289,[u'common in clinvar']
Rs104893940,[u'common in clinvar']
Rs104894269,[u'common in clinvar']
Rs104894299,[u'Congenital myasthenic syndrome']
Rs104894213,[u'common in clinvar']
Rs104893846,[u'common in clinvar']
Rs104894275,[u'common in clinvar']
Rs104893956,[u'common in clinvar']
Rs104894064,[u'common in clinvar']
Rs104894050,[u'common in clinvar']
Rs104894286,[u'common in clinvar']
Rs104894087,[u'common in clinvar']
Rs104894102,[u'common in clinvar']
Rs104894035,[u'common in clinvar']
Rs104894095,[u'common in clinvar']
Rs104893964,[u'common in clinvar']
Rs104894274,[u'common in clinvar']
Rs104894174,[u'common in clinvar']
Rs104893963,[u'common in clinvar']
Rs104893873,[u'common in clinvar']
Rs104894170,[u'common in clinvar']
Rs104894051,[u'common in clinvar']
Rs104894146,[u'common in clinvar']
Rs104893847,[u'common in clinvar']
Rs104893921,[u'common in clinvar']
Rs104894103,[u'common in clinvar']
Rs104894059,[u'common in clinvar']
Rs104894162,[u'common in clinvar']
Rs104894273,[u'common in clinvar']
Rs104894254,[u'common in clinvar']
Rs104894027,[u'common in clinvar']
Rs104893906,[u'common in clinvar']
Rs104894193,[u'common in clinvar']
Rs104894214,[u'common in clinvar']
Rs104893968,[u'common in clinvar']
Rs104894285,[u'common in clinvar']
Rs104894039,[u'common in clinvar']
Rs104894265,[u'common in clinvar']
Rs104893836,[u'common in clinvar']
Rs104894093,[u'common in clinvar']
Rs104893955,[u'common in clinvar']
Rs104893882,[u'common in clinvar']
Rs104894299,[u'common in clinvar']
Rs104894067,[u'common in clinvar']
Rs104894306,[u'common in clinvar']
Rs104893939,[u'common in clinvar']
Rs104893931,[u'common in clinvar']
Rs104894023,[u'common in clinvar']
Rs104894105,"[u""Friedreich's ataxia""]"
Rs104894107,"[u""Friedreich's ataxia""]"
Rs104893936,[u'common in clinvar']
Rs104893954,[u'common in clinvar']
Rs104893922,"[u'Spinal muscular atrophy, type 1']"
Rs104893986,[u'common in clinvar']
Rs104894335,[u'common in clinvar']
Rs104894168,[u'common in clinvar']
Rs104894303,[u'common in clinvar']
Rs104894224,[u'common in clinvar']
Rs104894227,[u'common in clinvar']
Rs104893889,[u'common in clinvar']
Rs104893866,[u'common in clinvar']
Rs104894253,[u'common in clinvar']
Rs104893938,[u'common in clinvar']
Rs104894106,"[u""Friedreich's ataxia""]"
Rs104894015,[u'common in clinvar']
Rs104894106,[u'common in clinvar']
Rs104893943,[u'common in clinvar']
Rs104894005,[u'common in clinvar']
Rs104894134,[u'common in clinvar']
Rs104893905,[u'common in clinvar']
Rs104894150,[u'common in clinvar']
Rs104894129,[u'Nemaline Myopathy 4']
Rs104894128,[u'common in clinvar']
Rs104894291,[u'common in clinvar']
Rs104893951,[u'common in clinvar']
Rs104893930,[u'carrier of a spinal muscular atrophy disease allele']
Rs104894223,[u'common in clinvar']
Rs104893932,[u'common in clinvar']
Rs104894309,[u'common in clinvar']
Rs104894236,[u'common in clinvar']
Rs104893924,[u'common in clinvar']
Rs104893838,[u'common in clinvar']
Rs104894021,[u'common in clinvar']
Rs104894307,[u'common in complete genomics']
Rs104894264,[u'common in clinvar']
Rs104894229,[u'common in clinvar']
Rs104893851,[u'common in clinvar']
Rs104894117,[u'common in clinvar']
Rs104893891,[u'common in complete genomics']
Rs104893980,[u'common in clinvar']
Rs104894065,[u'common in clinvar']
Rs104894144,[u'common in clinvar']
Rs104893998,[u'common in clinvar']
Rs104894094,[u'common in clinvar']
Rs104894137,[u'common in clinvar']
Rs104894008,[u'common in clinvar']
Rs104894009,[u'common in clinvar']
Rs104894173,[u'common in clinvar']
Rs104894293,[u'common in clinvar']
Rs104893981,[u'common in clinvar']
Rs104894036,[u'common in clinvar']
Rs104893887,[u'common in clinvar']
Rs104894099,[u'common in complete genomics']
Rs104894305,[u'common in clinvar']
Rs104894127,[u'common in clinvar']
Rs104894237,[u'common in clinvar']
Rs104894047,[u'common in clinvar']
Rs104894116,[u'common in clinvar']
Rs104893848,[u'common in clinvar']
Rs104894288,[u'common in clinvar']
Rs104894252,[u'common in clinvar']
Rs104894006,[u'common in clinvar']
Rs104894031,[u'common in clinvar']
Rs104894082,[u'common in clinvar']
Rs104894024,[u'common in clinvar']
Rs104894111,[u'common in clinvar']
Rs104894326,[u'common in clinvar']
Rs104894311,[u'common in clinvar']
Rs104894276,[u'common in clinvar']
Rs104894129,[u'common in clinvar']
Rs104894072,[u'common in clinvar']
Rs104894108,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104894089,[u'common in clinvar']
Rs104894177,[u'common in clinvar']
Rs104894149,[u'common in clinvar']
Rs104893945,[u'common in clinvar']
Rs104894287,[u'common in clinvar']
Rs104894049,[u'common in clinvar']
Rs104893958,[u'common in clinvar']
Rs104893877,[u'common in clinvar']
Rs104894130,[u'common in clinvar']
Rs104893978,[u'common in clinvar']
Rs104894312,[u'common in clinvar']
Rs104893987,[u'common in clinvar']
Rs104893908,[u'common in clinvar']
Rs104894261,[u'common in clinvar']
Rs104893935,"[u'Spinal muscular atrophy, type 1 or 2']"
Rs104893934,"[u'Spinal muscular atrophy, type 1']"
Rs104893912,[u'common in clinvar']
Rs104893965,[u'common in clinvar']
Rs104894280,[u'common in clinvar']
Rs104893850,[u'common in clinvar']
Rs104893883,[u'common in clinvar']
Rs104894279,[u'common in clinvar']
Rs104893927,[u'carrier of a spinal muscular atrophy disease allele']
Rs104894323,[u'common in clinvar']
Rs104894136,[u'common in complete genomics']
Rs104893901,[u'common in clinvar']
Rs104894163,[u'common in clinvar']
Rs104894298,[u'common in clinvar']
Rs104893858,[u'common in clinvar']
Rs104894009,[u'associated with MODY2; maturity onset of diabetes in the young (type 2)']
Rs104894032,[u'common in clinvar']
Rs104893911,[u'common in clinvar']
Rs104894316,[u'common in clinvar']
Rs104893985,[u'common in clinvar']
Rs104894114,[u'common in clinvar']
Rs104894016,[u'common in clinvar']
Rs104894329,[u'common in clinvar']
Rs104894266,[u'common in clinvar']
Rs104894029,[u'common in clinvar']
Rs104894107,[u'common in clinvar']
Rs104894191,[u'common in clinvar']
Rs104893862,[u'common in clinvar']
Rs104894131,[u'common in clinvar']
Rs104894334,[u'common in clinvar']
Rs104894228,[u'common in clinvar']
Rs104894256,[u'common in clinvar']
Rs104893932,"[u'Spinal muscular atrophy, type 3']"
Rs104894135,[u'common in clinvar']
Rs104893835,[u'common in clinvar']
Rs104894119,[u'common in clinvar']
Rs104893942,[u'common in clinvar']
Rs104893870,[u'common in clinvar']
Rs104894161,[u'common in clinvar']
Rs104894090,[u'common in clinvar']
Rs104893899,[u'common in clinvar']
Rs104894330,[u'common in clinvar']
Rs104893934,[u'carrier of a spinal muscular atrophy allele']
Rs104893844,[u'common in clinvar']
Rs104893935,[u'carrier of a spinal muscular atrophy disease allele']
Rs104893861,[u'common in clinvar']
Rs104894092,[u'common in clinvar']
Rs104894321,[u'common in clinvar']
Rs104893992,[u'common in clinvar']
Rs104894333,[u'common in clinvar']
Rs104894125,[u'common in clinvar']
Rs104894310,[u'common in clinvar']
Rs104894258,[u'common in complete genomics']
Rs104894063,[u'common in clinvar']
Rs104894169,[u'common in clinvar']
Rs104894308,[u'common in clinvar']
Rs104894203,[u'common in clinvar']
Rs104894211,[u'common in clinvar']
Rs104894033,[u'common in clinvar']
Rs104894061,[u'common in clinvar']
Rs104894184,[u'common in complete genomics']
Rs104894097,[u'Malignant melanoma predisposing mutation']
Rs104894299,[u'carrier of one Myasthenic syndrome allele']
Rs104894083,[u'common in clinvar']
Rs104894263,[u'common in clinvar']
Rs104894126,[u'common in clinvar']
Rs104894159,[u'common in clinvar']
Rs104894123,[u'common in clinvar']
Rs104893994,[u'common in clinvar']
Rs104894220,[u'common in clinvar']
Rs104893867,[u'common in clinvar']
Rs104894074,[u'common in clinvar']
Rs104893990,[u'common in clinvar']
Rs104894192,[u'common in clinvar']
Rs104894155,[u'common in clinvar']
Rs104894071,[u'common in clinvar']
Rs104893947,[u'common in clinvar']
Rs104894322,[u'common in clinvar']
Rs104893971,[u'common in clinvar']
Rs104894158,[u'common in clinvar']
Rs104894317,[u'common in clinvar']
Rs104894226,[u'common in clinvar']
Rs104894085,[u'common in clinvar']
Rs104894180,[u'common in clinvar']
Rs104894207,[u'common in clinvar']
Rs104894328,[u'common in clinvar']
Rs104894199,[u'common in clinvar']
Rs104893988,[u'common in clinvar']
Rs104894017,[u'common in clinvar']
Rs104893903,[u'common in clinvar']
Rs104894215,[u'common in clinvar']
Rs104894098,[u'common in complete genomics']
Rs104893935,[u'common in clinvar']
Rs104893934,[u'common in clinvar']
Rs104893976,[u'common in clinvar']
Rs104894244,[u'common in clinvar']
Rs104894001,[u'common in clinvar']
Rs104894105,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104894122,[u'common in clinvar']
Rs104894138,[u'common in clinvar']
Rs104894048,[u'common in clinvar']
Rs104894189,[u'common in clinvar']
Rs104894097,[u'common in complete genomics']
Rs104893953,[u'common in clinvar']
Rs104894078,[u'common in clinvar']
Rs104893864,[u'common in clinvar']
Rs104894216,[u'common in clinvar']
Rs104894120,[u'common in clinvar']
Rs104894327,[u'common in clinvar']
Rs104894128,[u'Nemaline Myopathy 4']
Rs104893885,[u'common in clinvar']
Rs104894283,[u'common in clinvar']
Rs104893922,[u'carrier of a spinal muscular atrophy disease allele']
Rs104894108,"[u""Friedreich's ataxia""]"
Rs104894040,[u'common in clinvar']
Rs104893915,[u'Several bone disorders associated with this genotype']
Rs104894292,[u'common in clinvar']
Rs104894086,[u'common in clinvar']
Rs104894255,[u'common in clinvar']
Rs104894062,[u'common in clinvar']
Rs104893916,[u'common in clinvar']
Rs104894115,[u'common in clinvar']
Rs104894151,[u'common in clinvar']
Rs104894268,[u'common in clinvar']
Rs104894182,[u'common in clinvar']
Rs104894118,[u'common in clinvar']
Rs104894260,[u'common in clinvar']
Rs104894060,[u'common in clinvar']
Rs104894058,[u'common in clinvar']
Rs104893888,[u'common in clinvar']
Rs104894148,[u'common in clinvar']
Rs104894272,[u'common in clinvar']
Rs104894080,[u'common in clinvar']
Rs104893898,[u'common in clinvar']
Rs104893984,[u'common in clinvar']
Rs104893927,[u'common in clinvar']
Rs104894181,[u'common in clinvar']
Rs104894037,[u'common in clinvar']
Rs104893962,[u'common in clinvar']
Rs104894221,[u'common in clinvar']
Rs104894325,[u'common in clinvar']
Rs104894290,[u'common in clinvar']
Rs104893895,[u'common in clinvar']
Rs104894152,[u'common in clinvar']
Rs104893871,[u'common in clinvar']
Rs104894143,[u'common in clinvar']
Rs104893917,[u'common in clinvar']
Rs104893860,[u'common in clinvar']
Rs104894069,[u'common in clinvar']
Rs104894020,[u'common in clinvar']
Rs104894200,[u'common in clinvar']
Rs104894044,[u'common in clinvar']
Rs104893897,[u'common in clinvar']
Rs104894132,[u'common in clinvar']
Rs104893933,[u'carrier of a spinal muscular atrophy disease allele']
Rs104893915,[u'common in clinvar']
Rs104893869,[u'common in clinvar']
Rs104894313,[u'common in clinvar']
Rs104894028,[u'common in clinvar']
Rs104894257,[u'common in complete genomics']
Rs104894014,[u'common in clinvar']
Rs104893865,[u'common in clinvar']
Rs104894175,[u'common in clinvar']
Rs104894187,[u'common in clinvar']
Rs104893920,[u'common in clinvar']
Rs104894030,[u'common in clinvar']
Rs104894110,[u'common in clinvar']
Rs104894300,[u'common in clinvar']
Rs104894075,[u'common in clinvar']
Rs104894194,[u'common in clinvar']
Rs104893961,[u'common in clinvar']
Rs104894012,[u'common in clinvar']
Rs104893919,[u'common in clinvar']
Rs104894208,[u'common in clinvar']
Rs104894018,[u'common in clinvar']
Rs104894204,[u'common in clinvar']
Rs104894318,[u'common in clinvar']
Rs104894250,[u'common in clinvar']
Rs104893855,[u'common in complete genomics']
Rs104894167,[u'common in clinvar']
Rs104893900,[u'common in clinvar']
Rs104893893,[u'common in clinvar']
Rs104894281,[u'common in clinvar']
Rs104894205,[u'common in clinvar']
Rs104894190,[u'common in clinvar']
Rs104894011,[u'common in clinvar']
Rs104893881,[u'common in clinvar']
Rs104893880,[u'common in clinvar']
Rs104894108,"[u""Friedreich's ataxia""]"
Rs104894231,[u'common in clinvar']
Rs104894147,[u'common in clinvar']
Rs104894105,"[u""Friedreich's ataxia""]"
Rs104893989,[u'common in clinvar']
Rs104894166,[u'common in clinvar']
Rs104894141,[u'common in clinvar']
Rs104894164,[u'common in clinvar']
Rs104894251,[u'common in clinvar']
Rs104894198,[u'common in clinvar']
Rs104893930,[u'common in clinvar']
Rs104894183,[u'common in clinvar']
Rs104894128,[u'Nemaline Myopathy 4']
Rs104893975,[u'common in clinvar']
Rs104893970,[u'common in clinvar']
Rs104894201,[u'common in clinvar']
Rs104893931,[u'carrier of a spinal muscular atrophy disease allele']
Rs104893909,[u'common in clinvar']
Rs104894002,[u'common in clinvar']
Rs104894145,[u'common in clinvar']
Rs104894259,[u'common in clinvar']
Rs104894066,[u'common in clinvar']
Rs104893948,[u'common in clinvar']
Rs104894210,[u'common in clinvar']
Rs104893933,[u'common in clinvar']
Rs104894301,[u'common in clinvar']
Rs104894284,[u'common in clinvar']
Rs104894055,[u'common in clinvar']
Rs104893910,[u'common in clinvar']
Rs104894206,[u'common in clinvar']
Rs104893839,[u'common in clinvar']
Rs104894091,[u'common in clinvar']
Rs104893859,[u'common in clinvar']
Rs104894314,[u'common in clinvar']
Rs104894045,[u'common in clinvar']
Rs104893993,[u'common in clinvar']
Rs104894046,[u'common in clinvar']
Rs104894304,[u'common in clinvar']
Rs104894196,[u'common in clinvar']
Rs104894108,"[u""carrier of a Friedreich's ataxia allele""]"
Rs104894079,[u'common in clinvar']
Rs104894057,[u'common in clinvar']
Rs1048943,[]
Rs104894016,[u'associated with MODY2; maturity onset of diabetes in the young (type 2)']
Rs104893857,[u'common in clinvar']
Rs104893856,[u'common in complete genomics']
Rs104894108,[u'common in clinvar']
Rs104894142,[u'common in clinvar']
Rs104893849,[u'common in clinvar']
Rs104894076,[u'common in clinvar']
Rs104894277,[u'common in clinvar']
Rs104894197,[u'common in clinvar']
Rs104893973,[u'common in clinvar']
Rs104894230,[u'common in clinvar']
Rs104894186,[u'common in clinvar']
Rs104893915,[u'carrier of one allele associated with several bone disorders']
Rs104894262,[u'common in clinvar']
